flow_id,src_ip,dst_ip,src_port,dst_port,protocol,bytes,packets,duration_ms,label
F00000,10.0.3.123,192.168.9.17,52456,443,TCP,3250,13,984,benign
F00001,10.0.1.234,192.168.1.96,48221,53,TCP,2712,9,3131,benign
F00002,10.0.0.191,192.168.3.129,21454,80,TCP,8716,90,3034,benign
F00003,10.0.3.253,192.168.9.221,31287,443,TCP,518,70,3748,benign
F00004,10.0.0.234,192.168.7.116,42877,443,TCP,4258,1,2109,benign
F00005,10.0.3.252,192.168.1.95,38242,445,TCP,6314,65,4722,benign
F00006,10.0.3.91,192.168.1.18,29978,53,UDP,5535,89,1198,benign
F00007,10.0.1.239,192.168.0.46,11153,443,TCP,2556,49,2924,benign
F00008,10.0.3.234,192.168.7.58,61918,443,TCP,745,43,2911,benign
F00009,10.0.2.87,192.168.8.121,4602,443,ICMP,2664,18,1780,benign
F00010,10.0.3.97,192.168.9.208,44634,80,TCP,11473,94,1671,benign
F00011,10.0.0.118,192.168.9.69,17596,443,TCP,7862,8,1605,benign
F00012,10.0.1.198,192.168.0.149,38586,3389,TCP,5955,118,2538,benign
F00013,10.0.4.88,203.0.113.31,26919,445,UDP,1402413,4165,465,anomaly
F00014,10.0.2.151,203.0.113.38,54384,6667,TCP,742912,7522,516,anomaly
F00015,10.0.1.158,192.168.9.221,12880,53,TCP,12957,114,3040,benign
F00016,10.0.3.191,192.168.4.100,13291,443,TCP,5787,97,4348,benign
F00017,10.0.2.39,192.168.0.148,12185,443,TCP,6787,18,650,benign
F00018,10.0.3.162,192.168.6.172,15342,443,TCP,3690,50,4153,benign
F00019,10.0.4.17,192.168.7.61,30563,3389,UDP,3606,7,2847,benign
F00020,10.0.3.52,192.168.3.7,33648,443,TCP,17698,8,495,benign
F00021,10.0.4.217,192.168.9.45,47050,443,TCP,11089,26,1790,benign
F00022,10.0.4.97,192.168.4.66,15334,22,TCP,7169,15,1441,benign
F00023,10.0.3.20,192.168.1.51,39226,443,ICMP,5904,17,2732,benign
F00024,10.0.4.39,192.168.1.12,18926,80,TCP,1978,52,4073,benign
F00025,10.0.1.81,192.168.0.199,39519,443,UDP,9485,119,2757,benign
F00026,10.0.1.116,192.168.8.6,15558,443,TCP,8697,39,2260,benign
F00027,10.0.0.79,203.0.113.23,22531,31337,UDP,684146,3310,531,anomaly
F00028,10.0.4.72,203.0.113.41,37668,445,UDP,1461396,3951,398,anomaly
